Freq.	V(V1,V2)/I(R2)
Step Information: Cs=200p  (Run: 1/21)
3.91671671671671e+004	(7.70539238862363e+001dB,1.15758008611602e+002°)
3.91811811811811e+004	(7.70015897132259e+001dB,1.16175263563390e+002°)
3.91951951951951e+004	(7.69491272340077e+001dB,1.16601935978685e+002°)
3.92092092092092e+004	(7.68965579402576e+001dB,1.17038260559370e+002°)
3.92232232232232e+004	(7.68439049470228e+001dB,1.17484475914824e+002°)
3.92372372372372e+004	(7.67911930823142e+001dB,1.17940824342839e+002°)
3.92512512512512e+004	(7.67384489798571e+001dB,1.18407551571818e+002°)
3.92652652652652e+004	(7.66857011748708e+001dB,1.18884906460665e+002°)
3.92792792792792e+004	(7.66329802026828e+001dB,1.19373140652487e+002°)
3.92932932932932e+004	(7.65803186999635e+001dB,1.19872508178192e+002°)
3.93073073073073e+004	(7.65277515082663e+001dB,1.20383265005657e+002°)
3.93213213213213e+004	(7.64753157795236e+001dB,1.20905668530184e+002°)
3.93353353353353e+004	(7.64230510830618e+001dB,1.21439977001703e+002°)
3.93493493493493e+004	(7.63709995135976e+001dB,1.21986448884015e+002°)
3.93633633633633e+004	(7.63192057996207e+001dB,1.22545342141463e+002°)
3.93773773773773e+004	(7.62677174114357e+001dB,1.23116913448210e+002°)
3.93913913913913e+004	(7.62165846680488e+001dB,1.23701417315476e+002°)
3.94054054054054e+004	(7.61658608419296e+001dB,1.24299105132002e+002°)
3.94194194194194e+004	(7.61156022606141e+001dB,1.24910224113475e+002°)
3.94334334334334e+004	(7.60658684039016e+001dB,1.25535016156604e+002°)
3.94474474474474e+004	(7.60167219953315e+001dB,1.26173716594212e+002°)
3.94614614614614e+004	(7.59682290864184e+001dB,1.26826552848030e+002°)
3.94754754754754e+004	(7.59204591319944e+001dB,1.27493742976613e+002°)
3.94894894894894e+004	(7.58734850548840e+001dB,1.28175494116724e+002°)
3.95035035035035e+004	(7.58273832979182e+001dB,1.28872000817318e+002°)
3.95175175175175e+004	(7.57822338612082e+001dB,1.29583443266633e+002°)
3.95315315315315e+004	(7.57381203224328e+001dB,1.30309985414250e+002°)
3.95455455455455e+004	(7.56951298377512e+001dB,1.31051772991481e+002°)
3.95595595595595e+004	(7.56533531208967e+001dB,1.31808931435499e+002°)
3.95735735735735e+004	(7.56128843978554e+001dB,1.32581563724438e+002°)
3.95875875875875e+004	(7.55738213345469e+001dB,1.33369748133158e+002°)
3.96016016016015e+004	(7.55362649348692e+001dB,1.34173535921784e+002°)
3.96156156156156e+004	(7.55003194065262e+001dB,1.34992948971800e+002°)
3.96296296296296e+004	(7.54660919921359e+001dB,1.35827977387374e+002°)
3.96436436436436e+004	(7.54336927632882e+001dB,1.36678577082546e+002°)
3.96576576576576e+004	(7.54032343754001e+001dB,1.37544667377893e+002°)
3.96716716716716e+004	(7.53748317815814e+001dB,1.38426128633446e+002°)
3.96856856856856e+004	(7.53486019040532e+001dB,1.39322799947507e+002°)
3.96996996996996e+004	(7.53246632621414e+001dB,1.40234476953840e+002°)
3.97137137137137e+004	(7.53031355564691e+001dB,1.41160909752315e+002°)
3.97277277277277e+004	(7.52841392095599e+001dB,1.42101801010143e+002°)
3.97417417417417e+004	(7.52677948638334e+001dB,1.43056804272565e+002°)
3.97557557557557e+004	(7.52542228387928e+001dB,1.44025522522862e+002°)
3.97697697697697e+004	(7.52435425500487e+001dB,1.45007507031814e+002°)
3.97837837837837e+004	(7.52358718937738e+001dB,1.46002256536180e+002°)
3.97977977977977e+004	(7.52313266011452e+001dB,1.47009216784184e+002°)
3.98118118118118e+004	(7.52300195682704e+001dB,1.48027780483369e+002°)
3.98258258258258e+004	(7.52320601680421e+001dB,1.49057287682507e+002°)
3.98398398398398e+004	(7.52375535512770e+001dB,1.50097026614341e+002°)
3.98538538538538e+004	(7.52465999452560e+001dB,1.51146235020008e+002°)
3.98678678678678e+004	(7.52592939584885e+001dB,1.52204101968958e+002°)
3.98818818818818e+004	(7.52757239010354e+001dB,1.53269770180244e+002°)
3.98958958958958e+004	(7.52959711300756e+001dB,1.54342338842314e+002°)
3.99099099099099e+004	(7.53201094305383e+001dB,1.55420866919152e+002°)
3.99239239239239e+004	(7.53482044404930e+001dB,1.56504376920969e+002°)
3.99379379379379e+004	(7.53803131306831e+001dB,1.57591859107987e+002°)
3.99519519519519e+004	(7.54164833469377e+001dB,1.58682276086491e+002°)
3.99659659659659e+004	(7.54567534234245e+001dB,1.59774567747411e+002°)
3.99799799799799e+004	(7.55011518735722e+001dB,1.60867656489859e+002°)
3.99939939939939e+004	(7.55496971642467e+001dB,1.61960452665206e+002°)
4.00080080080080e+004	(7.56023975772969e+001dB,1.63051860172025e+002°)
4.00220220220220e+004	(7.56592511610670e+001dB,1.64140782128390e+002°)
4.00360360360360e+004	(7.57202457727092e+001dB,1.65226126546319e+002°)
4.00500500500500e+004	(7.57853592105642e+001dB,1.66306811932864e+002°)
4.00640640640640e+004	(7.58545594341359e+001dB,1.67381772744287e+002°)
4.00780780780780e+004	(7.59278048676337e+001dB,1.68449964623296e+002°)
4.00920920920920e+004	(7.60050447816124e+001dB,1.69510369354485e+002°)
4.01061061061060e+004	(7.60862197459026e+001dB,1.70561999479951e+002°)
4.01201201201201e+004	(7.61712621459933e+001dB,1.71603902524748e+002°)
4.01341341341341e+004	(7.62600967541505e+001dB,1.72635164790665e+002°)
4.01481481481481e+004	(7.63526413459007e+001dB,1.73654914686347e+002°)
4.01621621621621e+004	(7.64488073522312e+001dB,1.74662325571121e+002°)
4.01761761761761e+004	(7.65485005376462e+001dB,1.75656618099849e+002°)
4.01901901901901e+004	(7.66516216943930e+001dB,1.76637062065284e+002°)
4.02042042042041e+004	(7.67580673435077e+001dB,1.77602977743083e+002°)
4.02182182182182e+004	(7.68677304337603e+001dB,1.78553736753026e+002°)
4.02322322322322e+004	(7.69805010303782e+001dB,1.79488762456546e+002°)
